rec_time	UTC	Dikablis Professional Wireless  (DGW18129)_Field Data_Scene cam_Original_Gaze_Gaze X	Dikablis Professional Wireless  (DGW18129)_Field Data_Scene cam_Original_Gaze_Gaze Y
00:00:00.010	1644609575516	1244.827	528.64
00:00:00.026	1644609575532	1243.513	539.826
00:00:00.043	1644609575549	1240.016	520.508
00:00:00.060	1644609575566	1240.392	539.496
00:00:00.076	1644609575582	1232.729	518.208
00:00:00.093	1644609575599	1232.819	535.456
00:00:00.110	1644609575616	1231.398	515.843
00:00:00.126	1644609575632	1242.248	539.25
00:00:00.143	1644609575649	1299.055	540.959
00:00:00.160	1644609575666	1346.548	559.221
00:00:00.176	1644609575682	1358.48	548.69
00:00:00.193	1644609575699	1357.455	557.208
00:00:00.210	1644609575716	1355.842	541.162
00:00:00.226	1644609575732	1355.499	551.874
00:00:00.243	1644609575749	1354.242	534.824
00:00:00.260	1644609575766	1351.651	536.274
00:00:00.276	1644609575782	1349.294	518.638
00:00:00.293	1644609575799	1347.909	527.014
00:00:00.310	1644609575816	1346.892	516.948
00:00:00.326	1644609575832	1347.094	527.588
00:00:00.343	1644609575849	1347.036	517.462
00:00:00.360	1644609575866	1346.91	528.692
00:00:00.376	1644609575882	1339.822	518.052
00:00:00.393	1644609575899	1281.191	524.234
00:00:00.410	1644609575916	1231.04	512.599
00:00:00.426	1644609575932	1233.108	522.33
00:00:00.443	1644609575949	1230.249	503.741
00:00:00.460	1644609575966	1232.254	528.214
00:00:00.476	1644609575982	1232.269	509.8
00:00:00.493	1644609575999	1230.35	521.382
00:00:00.510	1644609576016	1892.205	549.282
00:00:00.526	1644609576032	0	0
00:00:00.543	1644609576049	0	0
00:00:00.560	1644609576066	0	0
00:00:00.576	1644609576082	0	0
00:00:00.593	1644609576099	0	0
00:00:00.610	1644609576116	1348.634	523.577
00:00:00.626	1644609576132	1350.196	512.811
00:00:00.643	1644609576149	1358.932	572.761
00:00:00.660	1644609576166	1369.455	544.103
00:00:00.676	1644609576182	1356.542	552.449
00:00:00.693	1644609576199	1356.626	546.305
00:00:00.710	1644609576216	1355.692	520.759
00:00:00.726	1644609576232	1354.739	525.05
00:00:00.743	1644609576249	1353.822	522.803
00:00:00.760	1644609576266	1354.588	531.88
00:00:00.776	1644609576282	1354.036	524.717
00:00:00.793	1644609576299	1352.119	521.241
00:00:00.810	1644609576316	1352.933	524.635
00:00:00.826	1644609576332	1352.754	531.432
00:00:00.843	1644609576349	1353.423	522.208
00:00:00.860	1644609576366	1353.877	531.712
00:00:00.876	1644609576382	1352.154	520.299
00:00:00.893	1644609576399	1352.414	530.46
00:00:00.910	1644609576416	1350.531	519.365
00:00:00.926	1644609576432	1351.168	529.026
00:00:00.943	1644609576449	1354.265	518.046
00:00:00.960	1644609576466	1353.728	528.619
00:00:00.976	1644609576482	1352.71	516.759
00:00:00.993	1644609576499	1353.843	526.749
00:00:01.010	1644609576516	1352.737	517.631
00:00:01.026	1644609576532	1354.026	527.113
00:00:01.043	1644609576549	1354.603	518.895
00:00:01.060	1644609576566	1353.97	529.805
00:00:01.076	1644609576582	1355.61	520.392
00:00:01.093	1644609576599	1353.585	529.161
00:00:01.110	1644609576616	1355.723	520.755
00:00:01.126	1644609576632	1353.444	531.739
00:00:01.143	1644609576649	1354.981	524.181
00:00:01.160	1644609576666	1356.538	536.473
00:00:01.176	1644609576682	1356.141	524.464
00:00:01.193	1644609576699	1361.064	537.185
00:00:01.210	1644609576716	1362.417	526.091
00:00:01.226	1644609576732	1363.394	535.256
00:00:01.243	1644609576749	1364.474	525.361
00:00:01.260	1644609576766	1367.884	538.22
00:00:01.276	1644609576782	1367.633	528.486
00:00:01.293	1644609576799	1368.907	534.833
00:00:01.310	1644609576816	1368.435	522.84
00:00:01.326	1644609576832	1368.662	533.107
00:00:01.343	1644609576849	1368.278	522.135
00:00:01.360	1644609576866	1369.035	532.161
00:00:01.376	1644609576882	1369.773	521.063
00:00:01.393	1644609576899	1370.362	529.669
00:00:01.410	1644609576916	1369.241	517.217
00:00:01.426	1644609576932	1370.506	524.946
00:00:01.443	1644609576949	1372.236	511.711
00:00:01.460	1644609576966	1373.617	520.272
00:00:01.476	1644609576982	1357.671	502.3
00:00:01.493	1644609576999	1282.335	491.013
00:00:01.510	1644609577016	1228.485	480.035
00:00:01.526	1644609577032	1225.905	489.284
00:00:01.543	1644609577049	1230.303	482.255
00:00:01.560	1644609577066	1235.6	495.639
00:00:01.576	1644609577082	1238.977	488.95
00:00:01.593	1644609577099	1238.501	500.223
00:00:01.610	1644609577116	1239.516	494.989
00:00:01.626	1644609577132	1237.79	497.706
00:00:01.643	1644609577149	1231.756	499.852
00:00:01.660	1644609577166	1239.661	517.086
00:00:01.676	1644609577182	1241.569	508.612
00:00:01.693	1644609577199	1282.387	524.25
00:00:01.710	1644609577216	1291.685	518.027
00:00:01.726	1644609577232	1289.447	530.556
00:00:01.743	1644609577249	1290.342	524.422
00:00:01.760	1644609577266	1286.216	537.478
00:00:01.776	1644609577282	1288.137	528.647
00:00:01.793	1644609577299	1286.669	540.026
00:00:01.810	1644609577316	1287.414	532.265
00:00:01.826	1644609577332	1287.112	541.926
00:00:01.843	1644609577349	1282.973	532.117
00:00:01.860	1644609577366	1288.67	542.555
00:00:01.876	1644609577382	1284.113	532.35
00:00:01.893	1644609577399	1287.457	540.481
00:00:01.910	1644609577416	1287.361	528.189
00:00:01.926	1644609577432	1289.897	533.553
00:00:01.943	1644609577449	1290.579	525.611
00:00:01.960	1644609577466	1287.404	533.574
00:00:01.976	1644609577482	1288.778	524.183
00:00:01.993	1644609577499	1289.308	532.182
00:00:02.010	1644609577516	1289.238	518.967
00:00:02.026	1644609577532	1283.734	530.429
00:00:02.043	1644609577549	1264.621	527.69
00:00:02.060	1644609577566	1262.927	534.575
00:00:02.076	1644609577582	1265.55	526.413
00:00:02.093	1644609577599	1264.452	523.171
00:00:02.110	1644609577616	1266.855	526.22
00:00:02.126	1644609577632	1268.124	534.473
00:00:02.143	1644609577649	1268.255	524.548
00:00:02.160	1644609577666	1268.386	520.886
00:00:02.176	1644609577682	1266.875	513.347
00:00:02.193	1644609577699	1269.388	530.426
00:00:02.210	1644609577716	1269.289	510.958
00:00:02.226	1644609577732	1271.271	522.388
00:00:02.243	1644609577749	1273.726	506.561
00:00:02.260	1644609577766	1271.061	517.936
00:00:02.276	1644609577782	1274.616	506.338
00:00:02.293	1644609577799	1277.026	516.658
00:00:02.310	1644609577816	1278.179	514.961
00:00:02.326	1644609577832	1276.013	512.381
00:00:02.343	1644609577849	1278.702	501.95
00:00:02.360	1644609577866	1277.089	510.528
00:00:02.376	1644609577882	1275.159	499.871
00:00:02.393	1644609577899	1271.912	510.336
00:00:02.410	1644609577916	1273.389	495.264
00:00:02.426	1644609577932	1270.103	505.872
00:00:02.443	1644609577949	1268.89	495.505
00:00:02.460	1644609577966	1268.259	508.151
00:00:02.476	1644609577982	1270.434	495.7
00:00:02.493	1644609577999	1264.424	508.511
00:00:02.510	1644609578016	1268.107	497.63
00:00:02.526	1644609578032	1264.742	507.3
00:00:02.543	1644609578049	1266.01	503.603
00:00:02.560	1644609578066	1267.739	512.467
00:00:02.576	1644609578082	1266.932	504.328
00:00:02.593	1644609578099	1266.655	508.321
00:00:02.610	1644609578116	1262.137	505.968
00:00:02.626	1644609578132	1267.907	515.799
00:00:02.643	1644609578149	1264.273	505.617
00:00:02.660	1644609578166	1270.09	513.218
