rec_time	UTC	Dikablis Professional Wireless  (DGW18127)_Field Data_Scene cam_Original_Gaze_Gaze X	Dikablis Professional Wireless  (DGW18127)_Field Data_Scene cam_Original_Gaze_Gaze Y
00:00:00.023	1644610071142	1011.509	751.6
00:00:00.030	1644610071149		
00:00:00.039	1644610071158	1007.971	758.141
00:00:00.046	1644610071165		
00:00:00.056	1644610071175	1004.598	745.435
00:00:00.063	1644610071182		
00:00:00.073	1644610071192	1002.168	749.399
00:00:00.080	1644610071199		
00:00:00.089	1644610071208	995.369	744.727
00:00:00.096	1644610071215		
00:00:00.106	1644610071225	994.584	745.897
00:00:00.113	1644610071232		
00:00:00.123	1644610071242	996.394	741.147
00:00:00.130	1644610071249		
00:00:00.139	1644610071258	992.748	745.595
00:00:00.146	1644610071265		
00:00:00.156	1644610071275	989.711	740.971
00:00:00.163	1644610071282		
00:00:00.173	1644610071292	986.449	741.771
00:00:00.180	1644610071299		
00:00:00.189	1644610071308	989.086	740.881
00:00:00.196	1644610071315		
00:00:00.206	1644610071325	990.16	744.428
00:00:00.213	1644610071332		
00:00:00.223	1644610071342	988.604	738.904
00:00:00.230	1644610071349		
00:00:00.239	1644610071358	993.797	746.842
00:00:00.246	1644610071365		
00:00:00.256	1644610071375	991.482	740.993
00:00:00.263	1644610071382		
00:00:00.273	1644610071392	992.224	746.634
00:00:00.280	1644610071399		
00:00:00.289	1644610071408	990.273	742.495
00:00:00.296	1644610071415		
00:00:00.306	1644610071425	988.369	750.681
00:00:00.313	1644610071432		
00:00:00.323	1644610071442	993.665	750
00:00:00.330	1644610071449		
00:00:00.339	1644610071458	1036.008	820.823
00:00:00.346	1644610071465		
00:00:00.356	1644610071475	0	0
00:00:00.363	1644610071482		
00:00:00.373	1644610071492	1170.2	917.345
00:00:00.380	1644610071499		
00:00:00.389	1644610071508	0	0
00:00:00.396	1644610071515	1266.64	1080.192
00:00:00.406	1644610071525	0	0
00:00:00.413	1644610071532		
00:00:00.423	1644610071542	0	0
00:00:00.430	1644610071549		
00:00:00.439	1644610071558	0	0
00:00:00.446	1644610071565		
00:00:00.456	1644610071575	0	0
00:00:00.463	1644610071582		
00:00:00.473	1644610071592	0	0
00:00:00.480	1644610071599	952.659	772.51
00:00:00.489	1644610071608	0	0
00:00:00.496	1644610071615		
00:00:00.506	1644610071625	994.142	751.623
00:00:00.513	1644610071632		
00:00:00.523	1644610071642	993.854	721.962
00:00:00.530	1644610071649		
00:00:00.539	1644610071658	987.705	709.348
00:00:00.546	1644610071665		
00:00:00.556	1644610071675	986.374	692.523
00:00:00.563	1644610071682		
00:00:00.573	1644610071692	993.125	691.097
00:00:00.580	1644610071699		
00:00:00.589	1644610071708	984.407	676.496
00:00:00.596	1644610071715		
00:00:00.606	1644610071725	984.209	679.197
00:00:00.613	1644610071732		
00:00:00.623	1644610071742	984.326	667.371
00:00:00.630	1644610071749		
00:00:00.639	1644610071758	985.048	675.144
00:00:00.646	1644610071765		
00:00:00.656	1644610071775	983.81	668.087
00:00:00.663	1644610071782		
00:00:00.673	1644610071792	985.588	672.87
00:00:00.680	1644610071799		
00:00:00.689	1644610071808	986.146	661.617
00:00:00.696	1644610071815		
00:00:00.706	1644610071825	1884.329	448.992
00:00:00.713	1644610071832		
00:00:00.723	1644610071842	982.406	664.724
00:00:00.730	1644610071849		
00:00:00.739	1644610071858	979.45	669.503
00:00:00.746	1644610071865		
00:00:00.756	1644610071875	982.796	662.067
00:00:00.763	1644610071882		
00:00:00.773	1644610071892	977.443	665.729
00:00:00.780	1644610071899		
00:00:00.789	1644610071908	979.106	660.53
00:00:00.796	1644610071915		
00:00:00.806	1644610071925	974.863	667.21
00:00:00.813	1644610071932		
00:00:00.823	1644610071942	1799.302	409.235
00:00:00.830	1644610071949		
00:00:00.839	1644610071958	1860.313	414.623
00:00:00.846	1644610071965		
00:00:00.856	1644610071975	957.046	650.656
00:00:00.863	1644610071982		
00:00:00.873	1644610071992	960.777	661.26
00:00:00.880	1644610071999		
00:00:00.889	1644610072008	950.425	659.905
00:00:00.896	1644610072015		
00:00:00.906	1644610072025	948.123	691.016
00:00:00.913	1644610072032		
00:00:00.923	1644610072042	946.378	690.645
00:00:00.930	1644610072049		
00:00:00.939	1644610072058	944.179	693.065
00:00:00.946	1644610072065		
00:00:00.956	1644610072075	939.147	686.304
00:00:00.963	1644610072082		
00:00:00.973	1644610072092	943.377	691.725
00:00:00.980	1644610072099		
00:00:00.989	1644610072108	940.206	683.102
00:00:00.996	1644610072115		
00:00:01.006	1644610072125	938.265	689.8
00:00:01.013	1644610072132		
00:00:01.023	1644610072142	943.075	678.68
00:00:01.030	1644610072149		
00:00:01.039	1644610072158	941.25	686.086
00:00:01.046	1644610072165		
00:00:01.056	1644610072175	943.189	682.143
00:00:01.063	1644610072182		
00:00:01.073	1644610072192	944.72	688.267
00:00:01.080	1644610072199		
00:00:01.089	1644610072208	943.091	683.035
00:00:01.096	1644610072215		
00:00:01.106	1644610072225	946.084	686.98
00:00:01.113	1644610072232		
00:00:01.123	1644610072242	946.03	679.084
00:00:01.130	1644610072249		
00:00:01.139	1644610072258	946.967	683.068
00:00:01.146	1644610072265		
00:00:01.156	1644610072275	946.153	673.279
00:00:01.163	1644610072282		
00:00:01.173	1644610072292	947.314	683.38
00:00:01.180	1644610072299		
00:00:01.189	1644610072308	944.173	671.937
00:00:01.196	1644610072315		
00:00:01.206	1644610072325	954.432	676.257
00:00:01.213	1644610072332		
00:00:01.223	1644610072342	953.868	671.668
00:00:01.230	1644610072349		
00:00:01.239	1644610072358	957.282	677.674
00:00:01.246	1644610072365		
00:00:01.256	1644610072375	957.715	667.858
00:00:01.263	1644610072382		
00:00:01.273	1644610072392	962.287	683.943
00:00:01.280	1644610072399		
00:00:01.289	1644610072408	974.617	729.237
00:00:01.296	1644610072415		
00:00:01.306	1644610072425	1002.172	787.99
00:00:01.313	1644610072432		
00:00:01.323	1644610072442	1025.041	812.023
00:00:01.330	1644610072449		
00:00:01.339	1644610072458	1029.813	811.722
00:00:01.346	1644610072465		
00:00:01.356	1644610072475	1033.884	800.4
00:00:01.363	1644610072482		
00:00:01.373	1644610072492	1025.385	795.901
00:00:01.380	1644610072499		
00:00:01.389	1644610072508	1028.192	788.165
00:00:01.396	1644610072515		
00:00:01.406	1644610072525	1032.323	792.738
00:00:01.413	1644610072532		
00:00:01.423	1644610072542	1026.441	788.424
00:00:01.430	1644610072549		
00:00:01.439	1644610072558	1024.721	810.638
00:00:01.446	1644610072565		
00:00:01.456	1644610072575	988.377	865.326
00:00:01.463	1644610072582		
00:00:01.473	1644610072592	968.276	916.259
00:00:01.480	1644610072599		
00:00:01.489	1644610072608	955.869	952.78
00:00:01.496	1644610072615		
00:00:01.506	1644610072625	950.428	984.892
00:00:01.513	1644610072632		
00:00:01.523	1644610072642	940.877	1003.485
00:00:01.530	1644610072649		
00:00:01.539	1644610072658	939.441	1022.886
00:00:01.546	1644610072665		
00:00:01.556	1644610072675	940.087	1031.358
00:00:01.563	1644610072682		
00:00:01.573	1644610072692	942.438	1041.001
00:00:01.580	1644610072699		
00:00:01.589	1644610072708	946.748	1038.315
00:00:01.596	1644610072715		
00:00:01.606	1644610072725	951.488	1045.078
00:00:01.613	1644610072732		
00:00:01.623	1644610072742	954.463	1038.626
00:00:01.630	1644610072749		
00:00:01.639	1644610072758	964.367	1041.697
00:00:01.646	1644610072765		
00:00:01.656	1644610072775	966.993	1040.559
00:00:01.663	1644610072782		
00:00:01.673	1644610072792	968.514	1049.305
00:00:01.680	1644610072799		
00:00:01.689	1644610072808	972.568	1051.476
00:00:01.696	1644610072815		
00:00:01.706	1644610072825	969.698	1058.133
00:00:01.713	1644610072832		
00:00:01.723	1644610072842	967.337	1059.211
00:00:01.730	1644610072849		
00:00:01.739	1644610072858	968.349	1066.255
00:00:01.746	1644610072865		
00:00:01.756	1644610072875	969.056	1066.319
00:00:01.763	1644610072882		
00:00:01.773	1644610072892	967.92	1070.598
00:00:01.780	1644610072899		
00:00:01.789	1644610072908	969.469	1072.465
00:00:01.796	1644610072915		
00:00:01.806	1644610072925	0	0
00:00:01.813	1644610072932	946.997	1209.961
00:00:01.823	1644610072942	0	0
00:00:01.830	1644610072949	944.099	1204.986
00:00:01.839	1644610072958	0	0
00:00:01.846	1644610072965	961.954	1071.453
00:00:01.856	1644610072975	0	0
00:00:01.863	1644610072982	961.916	1062.369
00:00:01.873	1644610072992	0	0
00:00:01.880	1644610072999	960.728	1056.132
00:00:01.889	1644610073008	0	0
00:00:01.896	1644610073015	968.44	1060.936
00:00:01.906	1644610073025	0	0
00:00:01.913	1644610073032	970.289	1064.463
00:00:01.923	1644610073042	0	0
00:00:01.930	1644610073049	967.705	1059.16
00:00:01.939	1644610073058	0	0
00:00:01.946	1644610073065	971.796	1055.842
00:00:01.956	1644610073075	0	0
00:00:01.963	1644610073082	971.46	1053.152
00:00:01.973	1644610073092	0	0
00:00:01.980	1644610073099	972.136	1052.694
00:00:01.989	1644610073108	0	0
00:00:01.996	1644610073115	973.482	1050.006
00:00:02.006	1644610073125	0	0
00:00:02.013	1644610073132	972.523	1050.172
00:00:02.023	1644610073142	0	0
00:00:02.030	1644610073149	973.866	1047.693
00:00:02.039	1644610073158	0	0
00:00:02.046	1644610073165	971.182	1049.466
00:00:02.056	1644610073175	0	0
00:00:02.063	1644610073182	969.475	1048.067
00:00:02.073	1644610073192	0	0
00:00:02.080	1644610073199	965.186	1034.835
00:00:02.089	1644610073208	0	0
00:00:02.096	1644610073215	961.476	975.862
00:00:02.106	1644610073225	0	0
00:00:02.113	1644610073232	975.239	966.559
00:00:02.123	1644610073242	0	0
00:00:02.130	1644610073249		
00:00:02.139	1644610073258	1268.166	895.693
00:00:02.146	1644610073265		
00:00:02.156	1644610073275	0	0
00:00:02.163	1644610073282		
00:00:02.173	1644610073292	0	0
00:00:02.180	1644610073299		
