rec_time	UTC	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze X	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze Y
00:00:00.011	1644613607503	745.62	602.413
00:00:00.012	1644613607504		
00:00:00.019	1644613607511		
00:00:00.027	1644613607519	745.071	601.796
00:00:00.035	1644613607527		
00:00:00.044	1644613607536	743.726	600.967
00:00:00.045	1644613607537		
00:00:00.052	1644613607544		
00:00:00.061	1644613607553	744.65	603.254
00:00:00.069	1644613607561		
00:00:00.077	1644613607569	741.781	602.246
00:00:00.078	1644613607570		
00:00:00.085	1644613607577		
00:00:00.094	1644613607586	742.944	603.747
00:00:00.102	1644613607594		
00:00:00.111	1644613607603	743.715	600.049
00:00:00.112	1644613607604		
00:00:00.119	1644613607611		
00:00:00.127	1644613607619	741.703	602.2
00:00:00.135	1644613607627		
00:00:00.144	1644613607636	742.364	600.95
00:00:00.145	1644613607637		
00:00:00.152	1644613607644		
00:00:00.161	1644613607653	741.691	604.231
00:00:00.169	1644613607661		
00:00:00.177	1644613607669	742.552	605.29
00:00:00.178	1644613607670		
00:00:00.185	1644613607677		
00:00:00.194	1644613607686	744.28	610.41
00:00:00.202	1644613607694		
00:00:00.211	1644613607703	752.153	620.292
00:00:00.212	1644613607704		
00:00:00.219	1644613607711		
00:00:00.227	1644613607719	811.448	665.621
00:00:00.235	1644613607727		
00:00:00.244	1644613607736	901.822	726.886
00:00:00.245	1644613607737		
00:00:00.252	1644613607744		
00:00:00.261	1644613607753	981.756	772.637
00:00:00.269	1644613607761		
00:00:00.277	1644613607769	1062.413	790.195
00:00:00.278	1644613607770		
00:00:00.285	1644613607777		
00:00:00.294	1644613607786	1124.656	789.338
00:00:00.302	1644613607794		
00:00:00.311	1644613607803	1139.083	778.325
00:00:00.312	1644613607804		
00:00:00.319	1644613607811		
00:00:00.327	1644613607819	1126.341	772.712
00:00:00.335	1644613607827		
00:00:00.344	1644613607836	1121.089	767.817
00:00:00.345	1644613607837		
00:00:00.352	1644613607844		
00:00:00.361	1644613607853	1119.591	770.608
00:00:00.369	1644613607861		
